eventID,specificEpithet,scientificName,scientificNameID,scientificAuthorityName,lifeStage,sex,taxonRank,taxonomicStatus,identificationQualifier,kingdom,phylum,class,order,family,genus,occurrenceID,occurrenceStatus,preservation
IYS2019-Kaganovsky-1-1,parvus,Paracalanus parvus,urn:lsid:marinespecies.org:taxname:104685,"(Claus, 1863)",C6,F,Species,alternate representation,NA,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,IYS2019-Kaganovsky-1-1-zoop_occ-38,present,formalin
IYS2019-Kaganovsky-1-1,NA,Paracalanus,urn:lsid:marinespecies.org:taxname:104196,"Boeck, 1865",C5,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,IYS2019-Kaganovsky-1-1-zoop_occ-39,present,formalin
IYS2019-Kaganovsky-1-1,NA,Paracalanus,urn:lsid:marinespecies.org:taxname:104196,"Boeck, 1865",C4,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,IYS2019-Kaganovsky-1-1-zoop_occ-40,present,formalin
IYS2019-Kaganovsky-1-1,NA,Paraeuchaeta,urn:lsid:marinespecies.org:taxname:196874,"Scott A., 1909",C1,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Euchaetidae,Paraeuchaeta,IYS2019-Kaganovsky-1-1-zoop_occ-41,present,formalin
IYS2019-Kaganovsky-1-1,moultoni,Pseudocalanus moultoni,urn:lsid:marinespecies.org:taxname:157678,"Frost, 1989",C6,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-42,present,formalin
IYS2019-Kaganovsky-1-1,moultoni,Pseudocalanus moultoni,urn:lsid:marinespecies.org:taxname:157678,"Frost, 1989",C6,M,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-43,present,formalin
IYS2019-Kaganovsky-1-1,newmani,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,"Frost, 1989",C6,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-44,present,formalin
IYS2019-Kaganovsky-1-1,newmani,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,"Frost, 1989",C6,M,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-45,present,formalin
IYS2019-Kaganovsky-1-1,NA,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",C5,F,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-46,present,formalin
IYS2019-Kaganovsky-1-1,NA,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",C5,M,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-47,present,formalin
IYS2019-Kaganovsky-1-1,NA,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",C4,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-48,present,formalin
IYS2019-Kaganovsky-1-1,NA,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",C3,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,IYS2019-Kaganovsky-1-1-zoop_occ-49,present,formalin
IYS2019-Kaganovsky-1-1,antarcticus,Racovitzanus antarcticus,urn:lsid:marinespecies.org:taxname:104784,"Giesbrecht, 1902",C6,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Racovitzanus,IYS2019-Kaganovsky-1-1-zoop_occ-50,present,formalin
IYS2019-Kaganovsky-1-1,antarcticus,Racovitzanus antarcticus,urn:lsid:marinespecies.org:taxname:104784,"Giesbrecht, 1902",C5,NA,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Racovitzanus,IYS2019-Kaganovsky-1-1-zoop_occ-51,present,formalin
IYS2019-Kaganovsky-1-1,NA,Racovitzanus,urn:lsid:marinespecies.org:taxname:104227,"Giesbrecht, 1902",C3,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Racovitzanus,IYS2019-Kaganovsky-1-1-zoop_occ-52,present,formalin
IYS2019-Kaganovsky-1-1,minor,Scolecithricella minor,urn:lsid:marinespecies.org:taxname:104811,"(Brady, 1883)",C5,NA,Species,alternate representation,NA,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,IYS2019-Kaganovsky-1-1-zoop_occ-53,present,formalin
IYS2019-Kaganovsky-1-1,minor,Scolecithricella minor,urn:lsid:marinespecies.org:taxname:104811,"(Brady, 1883)",C6,F,Species,alternate representation,NA,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,IYS2019-Kaganovsky-1-1-zoop_occ-54,present,formalin
IYS2019-Kaganovsky-1-1,NA,Spionidae,urn:lsid:marinespecies.org:taxname:913,"Grube, 1850",larva,NA,Family,accepted,sp. indet.,Animalia,Annelida,Polychaeta,Spionida,Spionidae,NA,IYS2019-Kaganovsky-1-1-zoop_occ-55,present,formalin
IYS2019-Kaganovsky-1-1,hamata,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,"(Möbius, 1875)",NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,IYS2019-Kaganovsky-1-1-zoop_occ-56,present,formalin
IYS2019-Kaganovsky-1-1,elegans,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:105440,"(Verrill, 1873)",NA,NA,Species,accepted,NA,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,IYS2019-Kaganovsky-1-1-zoop_occ-57,present,formalin
