eventID,verbatimIdentification,scientificName,scientificNameID,scientificNameAuthorship,lifeStage,sex,taxonRank,taxonomicStatus,identificationQualifier,kingdom,phylum,class,order,family,genus,identificationRemarks,previousIdentifications,specificEpithet,occurrenceID,occurrenceStatus,basisOfRecord
IYS2019-Kaganovsky-1-Bongo-1,Neocalanus cristatus,"Neocalanus cristatus (Krøyer, 1848)",urn:lsid:marinespecies.org:taxname:104470,"Krøyer, 1848",C4,,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,,,cristatus,IYS2019-Kaganovsky-1-Bongo-1-29,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Neocalanus cristatus,"Neocalanus cristatus (Krøyer, 1848)",urn:lsid:marinespecies.org:taxname:104470,"Krøyer, 1848",C5,,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,,,cristatus,IYS2019-Kaganovsky-1-Bongo-1-30,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Neocalanus+Calanus C1-C3,"Calanidae (Dana, 1849)",urn:lsid:marinespecies.org:taxname:104079,"Dana, 1849",C1,,Family,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,,,,,IYS2019-Kaganovsky-1-Bongo-1-31,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Neocalanus+Calanus C1-C3,"Calanidae (Dana, 1849)",urn:lsid:marinespecies.org:taxname:104079,"Dana, 1849",C2,,Family,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,,,,,IYS2019-Kaganovsky-1-Bongo-1-32,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Neocalanus+Calanus C1-C3,"Calanidae (Dana, 1849)",urn:lsid:marinespecies.org:taxname:104079,"Dana, 1849",C3,,Family,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,,,,,IYS2019-Kaganovsky-1-Bongo-1-33,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Oithona atlantica,"Oithona atlantica (Farran, 1908)",urn:lsid:marinespecies.org:taxname:106642,"Farran, 1908",C6,F,Species,accepted,,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,,,atlantica,IYS2019-Kaganovsky-1-Bongo-1-34,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Oithona similis,"Oithona similis (Claus, 1866)",urn:lsid:marinespecies.org:taxname:106656,"Claus, 1866",C6,F,Species,accepted,,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,,,similis,IYS2019-Kaganovsky-1-Bongo-1-35,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Oithona sp.,"Oithona (Baird, 1843)",urn:lsid:marinespecies.org:taxname:106485,"Baird, 1843",C5,,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-36,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Paracalanus indicus,"Paracalanus indicus (Wolfenden, 1905)",urn:lsid:marinespecies.org:taxname:104683,"Wolfenden, 1905",C6,F,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,,,indicus,IYS2019-Kaganovsky-1-Bongo-1-37,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Paracalanus parvus,"Paracalanus parvus (Claus, 1863)",urn:lsid:marinespecies.org:taxname:104685,"Claus, 1863",C6,F,Species,alternate representation,,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,,,parvus,IYS2019-Kaganovsky-1-Bongo-1-38,present,PreservedSpecimen
