eventID,lifeStage,sex,scientificName,scientificNameID,identificationQualifier,kingdom,phylum,class,order,family,genus,scientificNameAuthorship,taxonRank,taxonomicStatus,occurrenceRemarks,occurrenceID,occurrenceStatus,preparations,vernacularName,specificEpithet,reproductiveCondition,basisOfRecord
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,M,Ctenocalanus vanus,urn:lsid:marinespecies.org:taxname:104510,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Ctenocalanus,"Giesbrecht, 1888",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:35,present,Formalin,NA,vanus,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,veliger,NA,Cymatiidae,urn:lsid:marinespecies.org:taxname:196332,sp. indet.,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cymatiidae,NA,"Iredale, 1913",Family,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:36,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,NA,NA,Discoconchoecia elegans,urn:lsid:marinespecies.org:taxname:127782,NA,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Discoconchoecia,"(Sars, 1866)",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:37,present,Formalin,NA,elegans,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C4,NA,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,"Giesbrecht, 1893",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:38,present,Formalin,NA,bungii,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,calyptopsis,NA,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,"Dana, 1852",Family,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:39,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,egg,NA,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,"Dana, 1852",Family,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:40,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,nauplius,NA,Euphausiidae,urn:lsid:marinespecies.org:taxname:110671,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,"Dana, 1852",Family,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:41,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,NA,NA,Fritillaria borealis,urn:lsid:marinespecies.org:taxname:103375,NA,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Fritillaria,"Lohmann, 1896",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:42,present,Formalin,NA,borealis,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C5,F,Gaetanus intermedius,urn:lsid:marinespecies.org:taxname:351913,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Gaetanus,"Campbell, 1930",Species,unaccepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:43,present,Formalin,NA,intermedius,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C5,F,Gaetanus intermedius,urn:lsid:marinespecies.org:taxname:426434,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Gaetanus,"(Wolfenden, 1905)",Species,unaccepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:44,present,Formalin,NA,intermedius,NA,PreservedSpecimen
